title,price,image
"Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 256GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus",25952 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_6497_1615.jpg
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus",26049 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1666.jpg
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",26433 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/2_3364.jpg
"Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4020 (2.80Ghz), 4GB, 1TB HDD+ 500GB SSD m.2 NVMe, 15.6"" HD TN, WiFi, Bluetooth, DOS, серый [81WQ00EKRK]",26433 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2750.jpg
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 120GB,14""HD,RUS,DOS HDMI, IRON GRAY",26625 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/ww-lenovo-laptop-v14-amd-hero_1798.webp
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",26721 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_8793.jpg
"Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,14""HD,RUS,DOS HDMI, IRON GRAY",26817 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/ww-lenovo-laptop-v14-amd-hero_3169.webp
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",26914 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_4559_8217.jpg
"Ноутбук Lenovo IdeaPad 1 14IGL05 Intel® Pentium Silver ® N5030, 4GB, 128GB SDD m.2 NVMe, Intel HD Graphics, 14"" HD LED, WiFi, BT, Cam, Win11s, Eng-Rus, серебристый [81VU00D6US]",26914 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_5694_3682.jpg
"Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB SSD, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus",27394 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1871.jpg
"Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus",27490 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_2672_7257.jpg
"Ноутбук Lenovo V145-15AST 81MT0017RU AMD A6-9225 (2.60-3.00GHz), 4GB DDR4, 1TB HDD, DVD±RW, AMD Radeon R4, 15.6""FHD (1920x1080) LED, WiFi ac, BT 4.1, WC, CR, DOS, Русская клавиатура, Black",27779 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1 ) v145 ideapad-15-hero_2850.webp
"Ноутбук Lenovo IdeaPad 1 14IGL05 Intel® Pentium Silver ® N5030, 4GB, 256GB SDD m.2 NVMe, Intel HD Graphics, 14"" HD TN, WiFi, BT, Cam, Win11s, Eng-Rus, серебристый [81VU00D6US]",28019 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1_1291.jpg
"Notebook Lenovo V145-15AST 81MT0017RU AMD A6-9225 (2.60-3.00GHz), 4GB DDR4, 1TB HDD, DVD±RW, AMD Radeon R4, 15.6""FHD (1920x1080) LED, WiFi ac, BT 4.1, WC, CR, DOS, Русская клавиатура, Black",28644 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1 ) v145 ideapad-15-hero_3435.webp
"Ноутбук HP 250 G7 1F3J3EA#ACB Intel Celeron N4020 (1.10-2.80GHz), 4GB DDR4, 1TB HDD, Intel UHD Graphics 600, 15.6""FHD (1920x1080) LED, WiFi ac, BT 4.2, HD WC, CR, DOS, Русская клавиатура, Black",28644 Сом,https://enter.kg/computers/noutbuki_bishkek/images/stories/virtuemart/product/1001598121_3_644x461_new-hp-15-laptop-intel-core-i3-free-laptop-bag-computers-laptops_2331.jpg
